,Company/Branch,Town,Location,Phone,Email,Website,Date Added,Unnamed: 8,0,1,2,3,4,5,6,7
23,,,,,,,,,Links Electrical Supplies Ltd,Branch,OSWESTRY, Unit 2 Mile Oak Industrial Estate Maesbury Road OSWESTRY Shropshire SY10 8GA,01691 672871,oswestry@linkselectrical.co.uk,,2024-07-21
24,,,,,,,,,Links Electrical Supplies Ltd,Branch,PORTHMADOG, Unit B6 Porthmadog Business Park PORTHMADOG Gwynedd LL49 9GB,01766 512506,portsales@linkselectrical.co.uk,,2024-07-21
25,,,,,,,,,Links Electrical Supplies Ltd,Branch,SHREWSBURY, Unit 3 Knights Way Battlefield Enterprise Park SHREWSBURY Shropshire SY1 3AB,01743 468899,shrewsbury@linkselectrical.co.uk,,2024-07-21
26,,,,,,,,,Links Electrical Supplies Ltd,Branch,WELSHPOOL, Unit 6 The Fox Complex Severn Road WELSHPOOL Powys SY21 7DF,01938 555555,rob@linkselectrical.co.uk,,2024-07-21
27,,,,,,,,,Links Electrical Supplies Ltd,Branch,WREXHAM," Four Squares Estate Plas Acton Road Pandy,Gwersyllt WREXHAM North Wales LL11 2AS",01978 784466,wrexham@linkselectrical.co.uk,,2024-07-21
28,,,,,,,,,Lloyd & Jones,Company,BOOTLE, Langton House 74B Regent Road BOOTLE Merseyside L20 1BL ,0151 955 4700,sales@lloyd-jones.com,https://www.lloyd-jones.com,2024-07-21
29,,,,,,,,,Lloyd & Jones,Branch,ACCRINGTON," Junction 7 Business Park Unit F2, Blackburn Road Clayton-Le-Moors ACCRINGTON Lancashire BB5 5JW",01282 614942,accrington_branch@lloyd-jones.com,,2024-07-21
30,,,,,,,,,Lloyd & Jones,Branch,ASHTON-UNDER-LYNE, Richmond House Katherine Street ASHTON-UNDER-LYNE Greater Manchester OL6 7BD,0161 330 1490,ashton_branch@lloyd-jones.com,,2024-07-21
31,,,,,,,,,Lloyd & Jones,Branch,ATHERSTONE, 4 Carlyon Road ATHERSTONE Warwickshire CV9 1JE,01827 714839,atherstone_branch@lloyd-jones.com,,2024-07-21
32,,,,,,,,,Lloyd & Jones,Branch,BRISTOL, 29 - 33 Douglas Road Kingswood BRISTOL City of Bristol BS15 8NH,0117 99 22 999,bristol_branch@lloyd-jones.com,,2024-07-21
33,,,,,,,,,Lloyd & Jones,Branch,BURSCOUGH, Unit 2 Langley Court Higgins Lane Ind Estate BURSCOUGH Lancashire L40 8JR,01704 897 722,hbtools@lloyd-jones.com,,2024-07-21
34,,,,,,,,,Lloyd & Jones,Branch,GATESHEAD," Proctor House, Dukesway Team Valley GATESHEAD Tyne and Wear NE11 0NW",0191 491 3027,newcastle_branch@lloyd-jones.com,,2024-07-21
35,,,,,,,,,Lloyd & Jones,Branch,HULL, Tooltek House Spyvee Street HULL East Yorkshire HU8 7JJ,01482 229628,hull_branch@lloyd-jones.com,,2024-07-21
36,,,,,,,,,Lloyd & Jones,Branch,OLDHAM, Wrigley Street OLDHAM Greater Manchester OL4 1HW,0161 287 8118,oldham_branch@lloyd-jones.com,,2024-07-21
37,,,,,,,,,Lloyd & Jones,Branch,STOKE-ON-TRENT," Manor House, Manor Street Fenton STOKE-ON-TRENT Staffordshire ST4 2JB",01782 849 849,stoke_branch@lloyd-jones.com,,2024-07-21
38,,,,,,,,,Lloyd & Jones,Branch,TEESSIDE, Boeing Way Preston Farm Industrial Estate TEESSIDE North Yorkshire TS18 3TE,01642 603060,teesside_branch@lloyd-jones.com,,2024-07-21
39,,,,,,,,,Lloyd & Jones,Branch,WINSFORD, Unit 1 Hornby Buildings Road five Winsford Industrial Estate WINSFORD Cheshire CW7 3RB,01606 861 111,winsford_branch@lloyd-jones.com,,2024-07-21
40,,,,,,,,,Lloyd & Jones,Branch,WIRRAL, Unit 7 Royal Standard Way Express Business Park Birkenhead WIRRAL Merseyside CH42 1NB,0151 645 6450,wirral_branch@lloyd-jones.com,,2024-07-21
41,,,,,,,,,Lloyd & Jones,Branch,WREXHAM," Unit 4 Apex Centre, Clywedog Road South Wrexham Industrial Estate WREXHAM Clwyd LL13 9XS",01978 664 080,wrexham_branch@lloyd-jones.com,,2024-07-21
42,,,,,,,,,Ablectrics Limited,Company,BRISTOL, 33 Zetland Road Redland BRISTOL City of Bristol BS6 7AH ,0117 942 5355,sales@ablectrics.com,https://www.electricsandlighting.co.uk,2024-07-21
43,,,,,,,,,Brown's Wholesale Ltd,Company,OSWESTRY, Unit M07 Mile Oak Industrial Estate Maesbury Road OSWESTRY Shropshire SY10 8GA ,01691 656 333,sales@brownswholesale.co.uk,http://www.theiba.uk,2024-07-21
44,,,,,,,,,Capital Electric Wholesale Ltd,Company,HAILSHAM, Diplocks Industrial Estate Diplocks Way HAILSHAM East Sussex BN27 3JF ,01323 443943,sales@capitalelectric.co.uk,http://www.capitalelectric.co.uk,2024-07-21
45,,,,,,,,,Capital Electric Wholesale Ltd,Branch,NEWHAVEN, Unit C Rich Industrial Estate NEWHAVEN East Sussex BN9 0DU,01273 093725,salesnewhaven@capitalelectric.co.uk,,2024-07-21
46,,,,,,,,,CH Electrical Wholesalers Ltd,Company,HORNCHURCH, 134 Park Lane HORNCHURCH Essex RM11 1BE ,01708 730591,sales@ch-electrical.co.uk,http://www.ch-electrical.co.uk,2024-07-21
47,,,,,,,,,Circuit Supply Ltd,Company,WATERLOOVILLE, 28 Aston Road WATERLOOVILLE Hampshire PO7 7XJ ,02392 262624,enquiries@circuitsupply.co.uk,http://www.circuitsupply.co.uk,2024-07-21
48,,,,,,,,,Dean Electrical Wholesale Ltd,Company,CINDERFORD, Laymore Road Forest Vale Industrial Estate CINDERFORD Gloucestershire GL14 2YH ,01594 825225,sales@deanelectrical.co.uk,,2024-07-21
49,,,,,,,,,GDA Electrical Wholesaler Ltd,Company,BEDFORD, Unit 1 Viking Industrial Estate Hudson Road Stratton Way BEDFORD Bedfordshire MK41 0LZ ,01234 608 008,info@gdawholesaler.co.uk,http://www.gdawholesaler.co.uk,2024-07-21
50,,,,,,,,,GDA Electrical Wholesaler Ltd,Branch,DAVENTRY," Unit 3, Signal Park, Long March Industrial Estate DAVENTRY Northamptonshire NN11 4SA",01327 224 025,,,2024-07-21
51,,,,,,,,,GDA Electrical Wholesaler Ltd,Branch,ST.IVES, Unit 5 Joiners Court Nuffield Road ST.IVES Cambridgeshire PE27 3LX,01480 773104,,,2024-07-21
52,,,,,,,,,Harbro Electrical Wholesale,Company,PETERLEE, 5 & 6 Whitworth Road South West Industrial Estate PETERLEE County Durham SR8 2LY ,0191 518 1998,philip@harbroelectrical.co.uk,http://www.harbroelectrical.co.uk,2024-07-21
53,,,,,,,,,Medlock Electrical Distributors,Company,WALTHAM, 109/115 Eleanor Cross Road WALTHAM CROSS Hertfordshire EN8 7NT ,01992 715370,orders@medlocks.co.uk,http://www.medlocks.co.uk,2024-07-21
54,,,,,,,,,Medlock Electrical Distributors,Branch,BRENTWOOD, Unit F5 Bluegate Park Hubert Road BRENTWOOD Essex CM14 4JE,01277 698900,sales.bw@medlocks.co.uk,,2024-07-21
55,,,,,,,,,Medlock Electrical Distributors,Branch,BRIDGWATER, Unit 4 & 5 Jessie Lee Close The Drove BRIDGWATER Somerset TA6 4DH,01278 410771,sales.bd@medlocks.co.uk,,2024-07-21
56,,,,,,,,,Medlock Electrical Distributors,Branch,BRIGHTON, Unit 3C North Freshfield Business Park Stevenson Road BRIGHTON East Sussex BN2 0DF,01273 699599,sales.bn@medlocks.co.uk,,2024-07-21
57,,,,,,,,,Medlock Electrical Distributors,Branch,BRISTOL, Unit 11 Enterprise Trade Cemtre Roman Farm Road BRISTOL City of Bristol BS4 1UN,0117 978 3300,sales.bl@medlocks.co.uk,,2024-07-21
58,,,,,,,,,Medlock Electrical Distributors,Branch,CAMBRIDGE, Unit 8 Clifton Road CAMBRIDGE Cambridgeshire CB1 7EA,01223 866490,sales.cb@medlocks.co.uk,,2024-07-21
59,,,,,,,,,Medlock Electrical Distributors,Branch,CHESHAM, Unit 32 Chess Business Park Moor Road CHESHAM Buckinghamshire HP5 1SD,01494 794966,info@medlocks.co.uk,,2024-07-21
60,,,,,,,,,Medlock Electrical Distributors,Branch,CLACTON-ON-SEA, Unit 1 & 2 30 Oxford Road CLACTON-ON-SEA Essex CO15 3TB,01255 422330,sales.ct@medlocks.co.uk,,2024-07-21
61,,,,,,,,,Medlock Electrical Distributors,Branch,CORK," Unit 5, Kinsale Road Industrial Estate Kinsale Road CORK County Cork T12 X5CD", 353 214971110,sales.cl@medlocks.ie,,2024-07-21
62,,,,,,,,,Medlock Electrical Distributors,Branch,CRAWLEY, Unit 5 Denvale Trade Park Haslett Avenue CRAWLEY West Sussex RH10 1SS,01293 531278,sales.cw@medlocks.co.uk,,2024-07-21
63,,,,,,,,,Medlock Electrical Distributors,Branch,CRAYFORD, Unit 31 Bourne Industrial Park Bourne Road CRAYFORD Kent DA1 4BZ,01322 555101,sales.cf@medlocks.co.uk,,2024-07-21
64,,,,,,,,,Medlock Electrical Distributors,Branch,CROYDON, Unit 14A Progress Business Park Progress Way CROYDON Surrey CR0 4XD,020 4548 4900,sales.cy@medlocks.co.uk,,2024-07-21
65,,,,,,,,,Medlock Electrical Distributors,Branch,DAVENTRY," Unit 12, Signal Park West March DAVENTRY Northamptonshire NN11 4SA",01327 223850,sales.dv@medlocks.co.uk,,2024-07-21
66,,,,,,,,,Medlock Electrical Distributors,Branch,DORCHESTER, Unit 3 Poundbury West Ind. Estate Poundbury Road DORCHESTER Dorset DT1 2PG,01305 261881,sales.dc@medlocks.co.uk,,2024-07-21
67,,,,,,,,,Medlock Electrical Distributors,Branch,DUBLIN 3, Richmond House Richmond Road DUBLIN 3 County Dublin DO3 K6V0, 353 18360200,sales.lp@medlocks.ie,,2024-07-21
68,,,,,,,,,Medlock Electrical Distributors,Branch,ELY, Unit 14 The Dock Business Park ELY Cambridgeshire CB7 4GS,01353 665783,sales.ey@medlocks.co.uk,,2024-07-21
69,,,,,,,,,Medlock Electrical Distributors,Branch,FAREHAM," Unit 3, Murrills Trading Estate East Street Portchester FAREHAM Hampshire PO16 9RD",02392 377875,sales.fh@medlocks.co.uk,,2024-07-21
70,,,,,,,,,Medlock Electrical Distributors,Branch,GLOUCESTER, Unit E Edison Close Waterwells Business Park GLOUCESTER Gloucestershire GL2 2FN,01452 723708,sales.gl@medlocks.co.uk,,2024-07-21
71,,,,,,,,,Medlock Electrical Distributors,Branch,HARLOW, Unit 10 Harold Close The Pinnacles HARLOW Essex CM19 5TH,01279 306300,sales.hr@medlocks.co.uk,,2024-07-21
72,,,,,,,,,Medlock Electrical Distributors,Branch,HENLEY-ON-THAMES, Newtown Road HENLEY-ON-THAMES Oxfordshire RG9 1HG,01491 413133,sales.he@medlocks.co.uk,,2024-07-21
73,,,,,,,,,Medlock Electrical Distributors,Branch,INVERNESS, Unit 1 Lotland Street INVERNESS Invernesshire IV1 1ST,01463 220584,sales.iv@medlocks.co.uk,,2024-07-21
74,,,,,,,,,Medlock Electrical Distributors,Branch,IPSWICH, Edison Close Ransomes Euro Park IPSWICH Suffolk IP3 9GU,01473 276790,sales.ip@medlocks.co.uk,,2024-07-21
75,,,,,,,,,Medlock Electrical Distributors,Branch,KENDAL, Unit 4B Parkside Business Park Parkside Road KENDAL Cumbria LA9 7EN,01539 739740,sales.ke@medlocks.co.uk,,2024-07-21
76,,,,,,,,,Medlock Electrical Distributors,Branch,KINGS LYNN," Unit 6, Berol Park Scania Way KINGS LYNN Norfolk PE30 4JJ",01553 603300,sales.kl@medlocks.co.uk,,2024-07-21
77,,,,,,,,,Medlock Electrical Distributors,Branch,LEICESTER, Unit 4 Empire Industrial Estate Hathaway Close Ulverscroft LEICESTER Leicestershire LE4 6BY,0116 2622848,sales.lc@medlocks.co.uk,,2024-07-21
78,,,,,,,,,Medlock Electrical Distributors,Branch,LONDON (5), 882-884 Eastern Avenue Newbury Park Ilford LONDON Greater London IG2 7HY,01992 709561,sales.np@medlocks.co.uk,,2024-07-21
79,,,,,,,,,Medlock Electrical Distributors,Branch,LONDON (5), 216-218 Mare Street Hackney LONDON Greater London E8 3RD,020 8533 2525,sales.hc@medlocks.co.uk,,2024-07-21
80,,,,,,,,,Medlock Electrical Distributors,Branch,LONDON (5), 605-609 Green Lanes Harringay LONDON Greater London N8 0RE,0208 348 5191,sales.ha@medlocks.co.uk,,2024-07-21
81,,,,,,,,,Medlock Electrical Distributors,Branch,LONDON (5)," Units 9 & 10, Ramac Industrial Estate Ramac Way, Woolwich Road Greenwich LONDON Greater London SE7 7AX",020 8858 9889,sales.gr@medlocks.co.uk,,2024-07-21
82,,,,,,,,,Medlock Electrical Distributors,Branch,LONDON (5), 98 Collier Row Road Romford LONDON Greater London RM5 2BA,01708 733109,sales.rf@medlocks.co.uk,,2024-07-21
83,,,,,,,,,Medlock Electrical Distributors,Branch,LONDON, Unit 2 Broadland Gate Trade Park NORWICH Norfolk NR13 5HB,01603 517670,sales.nw@medlocks.co.uk,,2024-07-21
84,,,,,,,,,Medlock Electrical Distributors,Branch,NORWICH, Unit 15 Cobblestone Way Newark Road PETERBOROUGH Cambridgeshire PE1 5WJ,01733 309110,sales.pb@medlocks.co.uk,,2024-07-21
85,,,,,,,,,Medlock Electrical Distributors,Branch,PETERBOROUGH, Unit 5 Parkers Trade Park Bedford Road PETERSFIELD Hampshire GU32 3QN,01730 233366,sales.pf@medlocks.co.uk,,2024-07-21
86,,,,,,,,,Medlock Electrical Distributors,Branch,PETERSFIELD, Unit B1 Claydons Lane RAYLEIGH Essex SS6 7UP,01268 777377,sales.rl@medlocks.co.uk,,2024-07-21
87,,,,,,,,,Medlock Electrical Distributors,Branch,RAYLEIGH, Unit 10 Robert Cort Industrial Estate Britten Road READING Berkshire RG2 0AU,0118 975 6487,sales.rg@medlocks.co.uk,,2024-07-21
88,,,,,,,,,Medlock Electrical Distributors,Branch,READING, Units 3 & 4 Medina Business Centre Shire Hill I SAFFRON WALDEN Essex CB11 3AJ,01799 513123,sales.sw@medlocks.co.uk,,2024-07-21
89,,,,,,,,,Medlock Electrical Distributors,Branch,SAFFRON WALDEN, Unit 1 West Quay Trade Park West Quay Road SOUTHAMPTON Hampshire SO15 1GZ,02380 231849,sales.so@medlocks.co.uk,,2024-07-21
90,,,,,,,,,Medlock Electrical Distributors,Branch,SOUTHAMPTON," Unit 5, Cedar Park Stock Road SOUTHEND-ON-SEA Essex SS2 5FZ",01702 600900,sales.se@medlocks.co.uk,,2024-07-21
91,,,,,,,,,Medlock Electrical Distributors,Branch,SOUTHEND-ON-SEA, Unit 5 Stamford Business Park Ryhall Road STAMFORD Lincolnshire PE9 1XT,01780 756781,sales.sm@medlocks.co.uk,,2024-07-21
92,,,,,,,,,Medlock Electrical Distributors,Branch,STAMFORD, Shell Street STORNOWAY Isle of Lewis HS1 2BS,01851 701724,sales.sy@medlocks.co.uk,,2024-07-21
93,,,,,,,,,Medlock Electrical Distributors,Branch,STORNOWAY, Unit 1 Tradeway Centre 17 Kimpton Park way SUTTON Surrey SM3 9QS,020 8641 4100,sales.sn@medlocks.co.uk,,2024-07-21
94,,,,,,,,,Medlock Electrical Distributors,Branch,SUTTON, Unit 2 Newcombe Drive Hawksworth Trading Estate SWINDON Wiltshire SN2 1DZ,01793 548910,sales.sd@medlocks.co.uk,,2024-07-21
95,,,,,,,,,Medlock Electrical Distributors,Branch,SWINDON, Unit 3 Berkshire Business Centre Berkshire Drive THATCHAM Berkshire RG19 4EW,01635 866933,sales.tm@medlocks.co.uk,,2024-07-21
96,,,,,,,,,Medlock Electrical Distributors,Branch,THATCHAM, Units 14 & 15 Sandown Centre White Horse Business Park TROWBRIDGE Wiltshire BA14 0XD,01225 775053,sales.tr@medlocks.co.uk,,2024-07-21
97,,,,,,,,,Medlock Electrical Distributors,Branch,TROWBRIDGE, 109 - 115 Eleanor Cross Road WALTHAM CROSS Hertfordshire EN8 7NT,01992 711616,sales.wx@medlocks.co.uk,,2024-07-21
98,,,,,,,,,Medlock Electrical Distributors,Branch,WALTHAM CROSS, Units 5-6 Church Street Industrial Estate Church Street WARE Hertfordshire SG12 9ES,01920 465932,sales.we@medlocks.co.uk,,2024-07-21
99,,,,,,,,,Medlock Electrical Distributors,Branch,WARE, Unit 3 Winchester Trade Park Easton Lane Winnall WINCHESTER Hampshire SO23 7FA,01962 859856,sales.wn@medlocks.co.uk,,2024-07-21
100,,,,,,,,,Medlock Electrical Distributors,Branch,WINCHESTER, Unit 5 Queens Business Centre 62 Weasenham Lane WISBECH Cambridgeshire PE13 2RU,01945 661387,sales.wb@medlocks.co.uk,,2024-07-21
101,,,,,,,,,Medlock Electrical Distributors,Branch,WISBECH, Unit 4 Rosewood Business Park Eastways WITHAM Essex CM8 3AA,01376 503049,sales.wm@medlocks.co.uk,,2024-07-21
102,,,,,,,,,Oldfield Electrical Supplies Ltd,Company,SKIPTON, Unit 6 Snaygill Industrial Estate Keighley Road SKIPTON North Yorkshire BD23 2QR ,01756 793361,info@oldfieldgroup.co.uk,http://www.oldfieldelectrical.co.uk,2024-07-21
103,,,,,,,,,Oldfield Electrical Supplies Ltd,Branch,CLITHEROE," Unit 1, Deanfield Court, Link 56 Business Park CLITHEROE Lancashire BB7 1QS",,info@oldfieldgroup.co.uk,,2024-07-21
104,,,,,,,,,Oldfield Electrical Supplies Ltd,Branch,GUISELEY, Heather House Station Road GUISELEY West Yorkshire LS20 8BX,,info@oldfieldgroup.co.uk,,2024-07-21
105,,,,,,,,,Oldfield Electrical Supplies Ltd,Branch,KEIGHLEY," Unit 6, Worth Enterprise Park, Valley Road KEIGHLEY West Yorkshire BD21 4LY",,info@oldfieldgroup.co.uk,,2024-07-21
106,,,,,,,,,Oldfield Electrical Supplies Ltd,Branch,KENDAL, Unit 8C Dockray Hall Industrial Estate KENDAL Cumbria LA9 4RU,,kendal@oldfieldgroup.co.uk,,2024-07-21
107,,,,,,,,,Regent Electrical Distributors,Company,CANTERBURY," Unit 3m, Sparrow Way Lakesview Business Park Hersden CANTERBURY Kent CT3 4JH ",01227 719997,accounts@regentelectrical.com,http://www.regentelectrical.com,2024-07-21
108,,,,,,,,,Regent Electrical Distributors,Branch,CANTERBURY, Accounts Department: Unit 3m Sparrows Way CANTERBURY Kent CT3 4JH,01227 719997,,,2024-07-21
109,,,,,,,,,Regent Electrical Distributors,Branch,FOLKESTONE," 182 - 186 Risborough Lane, FOLKESTONE Kent CT20 3LX",01303 271010,,,2024-07-21
110,,,,,,,,,Regent Electrical Distributors,Branch,ROCHESTER, Unit 9 Rochester Trade Park Rochester Trade Park ROCHESTER Kent ME1 3QY,01634 406222,,,2024-07-21
111,,,,,,,,,Regent Electrical Distributors,Branch,SITTINGBOURNE, Unit G OYO Business Units SITTINGBOURNE Kent ME10 2FB,01795 422141,,,2024-07-21
112,,,,,,,,,Regent Electrical Distributors,Branch,TEDDINGTON, t/a Gemini Electrical Supplies 186 Stanley Road TEDDINGTON Middlesex TW11 8UE,0208 9775006,,,2024-07-21
113,,,,,,,,,Regent Electrical Distributors,Branch,TENTERDEN, Units 7e & f Leigh Green Industrial Estate TENTERDEN Kent TN30 7DE,01580 766789,,,2024-07-21
114,,,,,,,,,Regent Electrical Distributors,Branch,UPMINSTER, Unit 6 Upminster Trade Park UPMINSTER Essex RM14 3PJ,01708 227764,,,2024-07-21
115,,,,,,,,,Regent Electrical Distributors,Branch,WORTHING, Teville Place WORTHING West Sussex BN11 1UQ,01903 206700,,,2024-07-21
116,,,,,,,,,Spring Electrical Ltd,Company,EWELL, 198-202 Kingston Road EWELL Surrey KT19 0SF ,020 8393 4000,info@springelectrical.com,http://www.springelectrical.com,2024-07-21
117,,,,,,,,,Spring Electrical Ltd,Branch,FETCHAM, 93-95 The Street FETCHAM Surrey KT22 9RD,01372 375143,fetcham.sales@springelectrical.com,,2024-07-21
118,,,,,,,,,Spring Electrical Ltd,Branch,SIDCUP, Unit 9 Fitzroy Business Park SIDCUP Kent DA14 5NL,020 8049 8850,gary.collick@springelectrical.com,,2024-07-21
119,,,,,,,,,TEC Supplies Group Ltd,Company,MALDON, Bridge House Hall Road Heybridge MALDON Essex CM9 4NF ,01621 850115,sales@tec-supplies.com,http://www.tec-supplies.com,2024-07-21
120,,,,,,,,,TEC Supplies Group Ltd,Branch,MALDON, TEC-Lifestyle Wycke Hill Business Park Wycke Hill MALDON Essex CM9 6WH,01621 878488,,,2024-07-21
121,,,,,,,,,TEC Supplies Group Ltd,Branch,WITHAM, 5 Colemans Bridge WITHAM Essex CM8 3HP,01376 500614,,,2024-07-21
122,,,,,,,,,Quantum Electrical Distribution Ltd,Company,CRAWLEY, Quantum House Dialog Fleming Way CRAWLEY West Sussex RH10 9NQ ,01293 213007,crawley@quantum-electrical.com,https://www.quantum-electrical.com,2024-07-21
123,,,,,,,,,London & Kent Electrical Ltd,Company,LONDON, 369 Woolwich Road Charlton LONDON Greater London SE7 7AJ ,020 8853 0026,info@lkele.co.uk,http://www.lkele.co.uk,2024-07-21
124,,,,,,,,,Peak Electrical Supplies Ltd,Company,MATLOCK, 9-10 Brookfield Way Brookfield Park Industrial Park Tansley MATLOCK Derbyshire DE4 5ND ,01629 760056,info@peakelectricalsupplies.co.uk,http://www.peakelectricalsupplies.co.uk,2024-07-21
125,,,,,,,,,Trafford Electrical Wholesalers,Company,SALFORD," Units D & E, North Stage Broadway SALFORD Greater Manchester M50 2UW ",0161 877 2747,sales@traffordelectrical.co.uk,http://www.traffordelectrical.co.uk,2024-07-21
126,,,,,,,,,ABM Electrical Wholesale Ltd,Company,STOCKPORT, Unit 10 Gregory Way Reddish STOCKPORT Greater Manchester SK5 7ST ,0161 476 3131,info@abm-elec.co.uk,http://www.abm-elec.co.uk/,2024-07-21
127,,,,,,,,,Alert Electrical Wholesalers,Company,ILKESTON, Units 2 & 3 Clarendon Court Manners Avenue Manners Industrial Estate ILKESTON Derbyshire DE7 8EF ,0115 944 4678,ilkeston@alertelectrical.com,https://www.alertelectrical.com/,2024-07-21
128,,,,,,,,,Alert Electrical Wholesalers,Branch,BULWELL, Unit 4 Bennerley Court Blenheim Industrial Estate BULWELL Nottinghamshire NG6 8UT,0115 784 1415,bulwell@alertelectrical.com,,2024-07-21
129,,,,,,,,,Alert Electrical Wholesalers,Branch,DERBY, Unit 5 Newmarket Court Ascot Drive DERBY Derbyshire DE24 8NW,01332 348187,derby@alertelectrical.com,,2024-07-21
