Company Name,Company/Branch,Town,latitude,longitude,Location,Phone,Email,Website,Date Added
David Harrison & Sons Ltd,Branch,HALIFAX,53.7229229,-1.8604874, Bonded Warehouse Gibbet Street HALIFAX West Yorkshire HX1 5BA,01422 348311,halifax@davidharrisonltd.co.uk,,21/07/2024
Denmans Electrical Wholesalers,Branch,HUDDERSFIELD,53.6466645,-1.7822482, Unit 5 Leeds Trade Park Leeds Road HUDDERSFIELD West Yorkshire HD2 1YR,01326 373900,falmouth@denmans.co.uk,,21/07/2024
JG Harrison & Sons Ltd,Company,HALIFAX,53.7229229,-1.8604874, New Brunswick Street HALIFAX West Yorkshire HX1 5BW ,01422 363525,sales@jgharrison.co.uk,http://www.jgharrison.co.uk,21/07/2024
JG Harrison & Sons Ltd,Branch,BRADFORD,53.7944229,-1.7519186, 113 Manningham Lane Manningham BRADFORD West Yorkshire BD8 7JA,01274 731333,bradford@jgharrison.co.uk,,21/07/2024
Powersaver Electrical Distributors Ltd,Branch,BRIGHOUSE,53.7028049,-1.7800944, Unit 4 Brighouse Trade Park Armytage Road Industrial Estate BRIGHOUSE West Yorkshire HD6 1PT,01484 718888,brighouse@powersaver.co.uk,,21/07/2024
KB Electrical Supplies Ltd,Company,HALIFAX,53.7229229,-1.8604874, Andrew Works Wainhouse Road HALIFAX West Yorkshire HX1 3RT ,01422 369994,sales@kbelectricalsupplies.co.uk,http://www.kbelectricalsupplies.co.uk,21/07/2024
CEW Electrical Wholesalers,Branch,HUDDERSFIELD,53.6466645,-1.7822482, Old Leeds Road HUDDERSFIELD West Yorkshire HD1 1SE,01484 454454,info@shop4.co.uk,,21/07/2024
Electric Center,Branch,BRADFORD,53.7944229,-1.7519186, Unit 3 1-7 Rutland Street BRADFORD West Yorkshire BD4 7EA,01344 428704,bracknell.764@electric-center.co.uk,,21/07/2024
Electric Center,Branch,HUDDERSFIELD,53.6466645,-1.7822482," Unit 17, Beck Road The Ringway Business Centre HUDDERSFIELD West Yorkshire HD1 5DG",01442 260777,hemel.849@electric-center.co.uk,,21/07/2024
Electric Center,Branch,KEIGHLEY,53.8684021,-1.9020456, Unit 3 Keighley Industrial Estate Royd Ings Avenue KEIGHLEY West Yorkshire BD21 4DZ,01467 620066,inverurie.846@electric-center.co.uk,,21/07/2024
Holland House Electrical Co Ltd,Branch,HUDDERSFIELD,53.6466645,-1.7822482," Unit 1, Riverside Court Colne Road HUDDERSFIELD West Yorkshire HD1 3ER",01484 423150,huddersfield@hh-electrical.co.uk,,21/07/2024
WEB (M & E) Products Ltd,Company,BRADFORD,53.7944229,-1.7519186, Unit 5 Bingley Street BRADFORD West Yorkshire BD8 9BU ,01274 547260,info@web-ltd.co.uk,http://www.web-ltd.co.uk,21/07/2024
WEB (M & E) Products Ltd,Branch,BRADFORD,53.7944229,-1.7519186, Moorcroft House Hillam Road Industrial Estate BRADFORD West Yorkshire BD2 1QN,,,,21/07/2024
